1,1,0.0,1.477,-0.05889,0.774,0.016,0.83398,-0.365,1.47,0.03760,1.177,-0.17755,0.788,-0.429,0.638,-0.263,0.84356,-0.373,0.764,-0.197,0.7,-0.154,0.314,-0.553,0.56811,-0.707,0.328,-0.323,0.295,-0.417,0.616,-0.793,0.188,-0.45300
0,0.89,0.0,1.295,-0.246,0.605,-0.36156,-0.069,-1.114,0.977,-0.04549,0.462,-0.853,0.502,-0.69707,-0.51685,-0.63,0.077,-0.358,0.281,-0.964,-0.13151,-0.425,-0.18056,-0.35734,-0.146,-0.26569,-0.294,-0.188,-0.2,-0.136,-0.235,-0.064,-0.085,-0.02
1,0.969,0.0,1.184,-0.041,0.863,0.004,1.2,-0.133,0.88965,0.014,0.444,0.07,0.85443,0.00827,0.685,0.004,0.462,-0.157,0.75535,-0.08540,0.809,-0.372,0.43385,-0.12062,0.671,-0.348,0.348,-0.127,0.536,-0.174,0.326,-0.214,0.478,-0.38238
0,1,0.0,0.899,-0.371,1,1,0.71216,-1.139,0.0,0,0,0.0,0.0,0.0,-0.989,0.149,0.527,-0.321,-0.912,-0.407,-0.76,1.431,0.0,0,1.282,0.949,0.698,1.067,1.181,-0.20099,0.346,1.409,-0.405,1.44
1,0.59,0.0,1.359,-0.02,0.91,0.06531,0.92106,-0.135,0.773,-0.103,0.367,-0.20275,0.307,-0.00712,0.352,-0.293,0.778,-0.136,0.287,-0.263,0.06,-0.524,0.021,-0.403,0.022,-0.922,0.13290,-0.333,0.02431,-0.349,-0.075,-0.449,-0.04608,-0.65697
0,0.655,0.0,0.023,-0.00592,-0.052,-0.085,-0.011,-0.169,0.145,0.098,0.03786,-0.075,0.0,0.0,-0.06,-0.185,-0.00343,-0.079,-0.135,-0.05414,0.01838,0.046,0.016,0.01,0.044,-0.022,-0.03240,0.09223,-0.11,0.009,0.0,0.0,-0.0,0.12011
1,0.527,0,1.106,-0.06,1.135,-0.126,0.617,-0.217,0.85996,-0.299,0.625,-0.47929,0.921,-0.61,0.807,-0.321,0.524,-0.647,0.37852,-0.73641,0.472,-0.913,0.171,-0.848,0.329,-0.612,0.19,-0.82510,0.061,-0.82395,-0.04262,-0.766,-0.105,-1.145
0,0.0,0.0,0.0,0.0,0.0,0.0,1.339,-0.858,0.0,0.0,-1.052,-1.012,0,0,0.0,0.0,0.834,0.9,-1,-1.089,0.0,0.0,0.0,0.0,1.482,1,0.83,1.379,0.0,0,1,1,0,0.0
1,1.29,0.0,1.43,-0.107,1,-0.185,1.292,-0.211,0.655,-0.284,0.9,-0.285,1.062,-0.248,1.264,-0.46381,0.98305,-0.18,0.84537,-0.66020,0.5,-0.433,0.481,-0.64225,0.976,-0.479,0.57577,-0.451,0.343,-0.425,0.509,-0.367,0.535,-0.73420
0,1,0.0,-0.015,-0.086,0.0,0.0,0,0,0.09,-0.154,-0.338,-0.217,0.0,0.0,-0.492,0.462,-0.377,0.167,0.735,0.173,0,0.0,0.0,0,-0.14803,-0.007,0.112,-0.02294,0.0,0.0,0.207,0.271,-0.112,0.38065
