0,1,5.186,4.208,1.4,0.2
0,2,4.435,3,1.542,0.2
0,3,4.7,1.837,1.3,0.198
0,4,2.632,3.1,0.772,0.2
0,5,5,3.682,1.038,0.2
0,6,5.4,3.716,1.662,0.4
0,5.232,4.6,3.4,1.69,0.3
0,8,6.707,3.4,0.767,0.2
0,9,4.4,2.9,1.986,0.197
0,5.904,4.9,3.1,2.033,0.1
0,11,4.037,2.637,1.5,0.2
0,7.667,4.8,3.4,1.242,0.2
0,13,3.66,4.308,1.4,0.1
0,14,4.3,3.189,1.254,0.1
0,15,4.538,4,0.927,0.2
0,16,5.7,5.62,2.085,0.4
0,17,5.4,2.228,1.832,0.4
0,20.605,5.1,3.5,1.4,0.274
0,19,5.7,3.8,1.169,0.432
0,11.4,5.1,2.945,1.5,0.3
0,21,4.253,3.422,1.7,0.2
0,22,6.015,4.903,1.5,0.4
0,23,4.053,3.6,1.002,0.2
0,23.148,5.1,4.554,1.7,0.5
0,25,4.8,3.4,2.154,0.186
0,26,5,3.488,1.6,0.111
0,24.058,5,3.4,1.896,0.4
0,28,4.234,3.5,1.852,0.2
0,37.086,5.28,3.4,1.4,0.2
0,30,4.397,3.2,0.872,0.2
0,29.854,4.8,2.778,1.6,0.2
0,32,5.4,3.556,1.5,0.207
0,33,4.127,3.763,1.5,0.1
0,49.39,5.5,4.2,1.399,0.2
0,35,4.9,3.379,1.366,0.2
0,18.77,5,3.2,0.883,0.2
0,37,4.961,3.5,1.444,0.2
0,38,2.663,3.6,1.4,0.077
0,39,4.4,2.747,0.811,0.2
0,27.949,5.1,2.479,1.5,0.2
0,41,5.575,3.728,1.3,0.3
0,42,5.651,2.3,0.945,0.3
0,21.927,5.841,3.2,1.3,0.2
0,44,7.347,3.5,0.84,0.6
0,45,2.57,3.8,2.461,0.4
0,46,5.899,2.56,1.4,0.3
0,47,2.983,3.8,1.276,0.2
0,48,3.551,3.2,1.4,0.281
0,49,7.47,3.465,1.5,0.2
0,50,5,3.3,1.93,0.143
1,51,7,4.277,5.691,1.4
1,52,6.4,2.27,5.942,1.5
1,53,5.139,3.16,4.9,1.5
1,54,5.5,3.113,3.19,1.3
1,62.19,6.5,1.44,4.6,1.5
1,59.259,5.7,2.8,4.5,1.766
1,57,6.3,4.163,4.7,1.663
1,58,4.44,1.324,3.3,1
1,59,4.815,2.9,5.721,1.3
1,60,2.956,2.7,3.439,1.4
1,61,5,1.086,3.722,1
1,80.517,3.8,3,4.2,1.5
1,63,3.819,2.793,4,1
1,72.086,6.1,1.923,4.7,1.4
1,65,5.6,1.659,4.54,1.3
1,66,6.091,4.586,4.4,1.4
1,67,5.787,3,5.968,1.5
1,68,5.8,3.503,3.199,1
1,69,3.373,1.791,4.5,1.5
1,70,7.808,2.5,3.9,1.03
1,92.876,5.9,3.2,4.8,1.968
1,100.506,6.1,3.575,4,1.3
1,73,6.3,2.988,4.9,1.636
1,74,8.032,3.766,4.7,1.2
1,75,7.289,2.9,4.3,1.211
1,76,6.105,3,4.4,1.047
1,77,5.629,2.8,4.8,0.862
1,78,8.461,3,3.118,1.7
1,79,3.489,2.9,5.209,1.5
1,80,5.7,2.75,2.938,1
1,81,5.5,1.646,4.263,1.1
1,82,5.5,2.973,5.14,1
1,83,7.163,2.35,3.9,1.2
1,57.743,4.245,2.7,5.1,1.6
1,85,5.4,3,6.548,1.104
1,86,6,3.4,5.43,2.384
1,60.904,6.7,3.1,5.012,1.5
1,88,6.3,1.433,3.296,1.3
1,89,3.327,3,3.194,1.3
1,90,5.5,1.808,2.647,1.3
1,91,5.5,2.6,5.595,1.098
1,92,6.1,1.777,3.948,1.4
1,93,8.28,2.6,4,0.783
1,112.106,5,2.3,4.88,1
1,95,5.6,2.7,3.115,1.32
1,96,8.485,3,4.301,1.2
1,119.808,4.44,2.9,4.2,1.3
1,98,7.953,2.9,3.405,1.3
1,99,3.992,2.5,3,1.061
1,100,5.196,4.138,4.1,1.3
2,101,6.3,3.3,7.88,1.643
2,102,3.681,2.7,5.816,1.9
2,103,7.1,2.04,3.661,2.1
2,148.501,6.3,2.9,8.01,1.8
2,105,6.5,3,3.125,1.496
2,53.4,7.6,4.031,6.6,2.1
2,107,4.9,2.43,4.5,0.883
2,108,7.3,1.864,6.3,1.777
2,109,7.224,2.5,3.819,1.8
2,110,6.219,3.6,3.404,2.5
2,111,9.17,3.2,5.1,2.876
2,112,6.4,2.164,7.604,1.9
2,63.693,6.8,4.236,5.5,2.1
2,114,5.7,3.464,3.84,2
2,115,7.835,3.214,5.1,2.4
2,116,6.4,3.388,6.221,2.3
2,117,7.955,3,5.5,1.565
2,118,7.7,3.344,6.7,1.779
2,119,7.7,2.6,6.917,3.36
2,133.942,6,2.2,4.059,1.5
2,80.535,6.9,3.2,6.688,2.3
2,122,7.178,3.548,4.9,2
2,123,7.7,1.993,5.476,2
2,124,6.3,2.7,6.061,1.368
2,125,4.553,4.091,5.7,2.1
2,126,7.2,4.354,4.819,1.8
2,127,6.664,2.8,6.026,1.8
2,128,8.609,3,4.9,1.133
2,129,6.4,2.741,5.6,2.905
2,138.127,7.2,2.386,5.8,1.6
2,131,7.4,2.095,6.138,1.9
2,132,7.9,3.8,5.101,2.839
2,133,6.4,2.804,5.6,2.612
2,134,6.3,2.8,6.258,1.555
2,86.159,6.1,1.657,5.6,1.4
2,136,7.7,2.872,6.1,1.987
2,166.669,7.131,3.4,5.6,2.4
2,138,5.005,4.067,5.5,1.8
2,119.406,6,3,3.41,1.8
2,140,9.913,2.652,5.4,2.1
2,141,5.411,3.1,6.309,2.4
2,142,9.142,3.406,5.1,2.3
2,103.723,5.8,1.737,5.1,1.9
2,144,9.728,3.739,5.9,2.3
2,147.163,6.7,3.3,5.7,3.493
2,137.162,6.7,2.468,5.2,2.3
2,193.133,6.3,2.5,5.694,1.9
2,148,6.5,4.373,6.728,2
2,164.049,9.118,3.4,5.4,2.3
2,150,5.9,3,6.58,1.544
